a,K,zeta,wn,s3_real_pole,PO_formula,PO_actual,PO_abs_err,Ts_formula,Ts_actual,Ts_abs_err
16,30000,0.04331065949417716,173.16175384153323,-1.0005004839096516,87.26748487627904,87.35948379909941,0.09199892282036615,0.400013346682911,0.38427467997701237,0.01573866670589863
17,30000,0.046198807834293205,173.1588634520561,-1.0005338851476633,86.47689049267373,86.5745159806666,0.09762548799287174,0.3750125133506922,0.3655706731001752,0.009441840250516975
18,30000,0.04908705265022131,173.15597282123497,-1.0005672908475027,85.69311947858958,85.7963011075236,0.10318162893402416,0.3529529545282765,0.3472124388994902,0.005740515628786302
19,30000,0.05197539395888208,173.15308194901894,-1.0006007010102873,84.91609651405628,85.02476225922115,0.10866574516487049,0.33334445779736527,0.3287379630365756,0.00460649476078967
20,30000,0.05486383177720188,173.1501908353572,-1.0006341156371354,84.14574737171547,84.25979420036103,0.11404682864555582,0.3158000133540353,0.31106579577457877,0.004734217579456523
21,30000,0.057752366122112014,173.14729948019908,-1.0006675347291665,83.38199889805522,83.50137851182333,0.11937961376811757,0.30001001335515015,0.2930522346241897,0.006957778730960429
22,30000,0.0606409970105493,173.14440788349359,-1.0007009582874984,82.62477899502444,82.74941389848031,0.12463490345587047,0.2857238228800751,0.27561552262653377,0.010108300253541314
23,30000,0.06352972445945597,173.14151604518992,-1.0007343863132516,81.87401660201947,82.00382732776579,0.12981072574632435,0.2727363769937446,0.2734262180950087,0.0006898411012641326
24,30000,0.06641854848577944,173.13862396523712,-1.000767818807545,81.12964167823381,81.26454670529964,0.13490502706582674,0.2608782742280621,0.25645049133348063,0.004427782894581456
25,30000,0.06930746910647242,173.13573164358434,-1.0008012557714996,80.39158518536254,80.53146009057363,0.13987490521108725,0.25000834669294686,0.23970086468118212,0.010307482011764735
26,30000,0.07219648633849365,173.13283908018073,-1.0008346972062354,79.6597790706537,79.80457629907458,0.1447972284208845,0.24000801336072894,0.238319396347925,0.001688617012803928
27,30000,0.07508560019880609,173.12994627497537,-1.0008681431128745,78.93415625029888,79.08441565893487,0.1502594086359892,0.2307769364387682,0.2213422545452017,0.009434681893566499
28,30000,0.07797481070437866,173.12705322791714,-1.0009015934925385,78.21465059315443,78.37072868726938,0.156078094114946,0.2222296429925916,0.21984483909777888,0.002384803894812715
29,30000,0.0808641178721858,173.12415993895524,-1.0009350483463477,77.50119690478681,77.6630231595705,0.16182625478369062,0.21429287050693582,0.20390640050986014,0.010386469997075681
30,30000,0.08375352171920704,173.12126640803868,-1.000968507675426,76.79373091183437,76.9612315669232,0.16750065508882983,0.20690346164105752,0.2029862272316747,0.003917234409382825
31,30000,0.08664302226242715,173.11837263511632,-1.0010019714808962,76.09218924667849,76.26531575179207,0.1731265051135864,0.20000668003297953,0.201022649642819,0.0010159696098394622
32,30000,0.08953261951883666,173.11547862013742,-1.0010354397638805,75.39650943241675,75.5751493241332,0.17863989171645756,0.19355485207710743,0.18531423005078543,0.008240622026322003
33,30000,0.0924223135054312,173.1125843630506,-1.0010689125255037,74.7066298681323,74.89069942006827,0.18406955193597696,0.18750626336854742,0.1842781117861072,0.0032281515824402196
34,30000,0.09531210423921159,173.10968986380496,-1.0011023897668894,74.0224898144519,74.21190193765912,0.18941212320721945,0.1818242557939077,0.16845319423716965,0.013371061556738062
35,30000,0.09820199173718427,173.10679512234938,-1.0011358714891612,73.34402937938663,73.5386935971094,0.19466421772277442,0.17647648395901888,0.1678788559851124,0.00859762797390648
36,30000,0.10109197601636132,173.10390013863292,-1.0011693576934455,72.67118950444899,72.87102147658628,0.19983197213728943,0.1714342990861873,0.16718597758131187,0.004248321504875419
37,30000,0.10398205709375957,173.10100491260454,-1.0012028483808673,72.00391195104056,72.2088009356805,0.2048889846399362,0.16667223559524194,0.16614943287101863,0.0005228027242233091
38,30000,0.10687223498640133,173.0981094442127,-1.001236343552551,71.34213928710355,71.55198447622806,0.20984518912450767,0.1621675809417063,0.15020762818567351,0.011959952756032788
39,30000,0.10976250971131489,173.09521373340667,-1.0012698432096245,70.68581487403084,70.90051199745268,0.21469712342184266,0.15790001337525758,0.14963288985640985,0.00826712351884773
40,30000,0.11265288128553344,173.0923177801352,-1.0013033473532138,70.0348828538294,70.25432416581174,0.21944131198233663,0.15385129542765852,0.14894257953636664,0.004908715891291882
41,30000,0.11554334972609524,173.089421584347,-1.001336855984446,69.38928813653062,69.61336240449138,0.22407426796075924,0.150005013377496,0.14802113907409206,0.0019838743034039374
42,30000,0.11843391505004515,173.08652514599086,-1.001370369104448,68.74897638784239,68.9775543588244,0.22857797098201615,0.1463463548420298,0.13288421022024932,0.01346214462178047
43,30000,0.12132457727443162,173.0836284650158,-1.0014038867143482,68.11389401703875,68.34686788304998,0.2329738660112355,0.14286191814163968,0.1325401978927346,0.01032172024890507
44,30000,0.12421533641630987,173.08073154137023,-1.0014374088152747,67.48398816507986,67.72123615285759,0.23724798777772094,0.13953954826457599,0.13219617172897383,0.0073433765356021585
