a,K,pole_real,pole_imag,zeta_exact,zeta_approx,abs_error,pct_error_%
39,10000,-18.998085615733785,97.98434106101352,0.19034420505681343,0.19,0.00034420505681342917,0.1808329582246498
40,10000,-19.498034839690934,97.8809343061974,0.19536314028376373,0.195,0.00036314028376371876,0.18587963074112127
41,10000,-19.99798404305637,97.77486080700083,0.20038258562834602,0.2,0.00038258562834600496,0.19092758342563507
42,10000,-20.497933225814485,97.66611187418816,0.20540254136280023,0.205,0.00040254136280024055,0.19597681709752374
43,10000,-20.997882387949524,97.5546785601327,0.21042300775962644,0.21,0.0004230077596264481,0.201027332576514
44,10000,-21.49783152944579,97.44055165491454,0.215443985091586,0.215,0.00044398509158599664,0.20607913068320613
45,10000,-21.997780650287623,97.32372168227349,0.22046547363170313,0.22,0.0004654736317031283,0.21113221223960066
46,10000,-22.497729750459115,97.20417889541498,0.2254874736532621,0.225,0.00048747365326209935,0.2161865780676137
47,10000,-22.997678829944597,97.08191327266394,0.2305099854298114,0.23,0.0005099854298113993,0.22124222899085041
48,10000,-23.49762788872831,96.95691451296038,0.23553300923516166,0.235,0.0005330092351616689,0.22629916583348197
49,10000,-23.997576926794437,96.82917203119312,0.2405565453433868,0.24,0.0005565453433868106,0.23135738942058712
50,10000,-24.497525944127133,96.69867495336646,0.24558059402882385,0.245,0.0005805940288238498,0.23641690057794443
1,20000,0.0,141.42135623730954,-0.0,0.0,0.0,
2,20000,-0.4999749987500002,141.4169368392737,0.003535445507640932,0.0035355339059327377,8.839829180587108e-08,0.0025003437788765665
3,20000,-0.999949992498876,141.4107492378409,0.007071067785341903,0.007071067811865475,2.652357240090497e-11,3.7509995952644503e-07
4,20000,-1.4999249812447495,141.402793200835,0.01060686687951409,0.010606601717798212,2.651617158778291e-07,0.0024999061352411014
5,20000,-1.999899964985742,141.3930684296793,0.014142842836590522,0.01414213562373095,7.072128595710797e-07,0.00500050002494103
6,20000,-2.499874943719984,141.38157455933955,0.017678995703026213,0.017677669529663688,1.3261733625251348e-06,0.007501406668129493
7,20000,-2.9998499174455855,141.36831115825552,0.021215325525298014,0.021213203435596423,2.1220897015901408e-06,0.010002626163146424
8,20000,-3.499824886160674,141.35327772826074,0.024751832349904745,0.024748737341529162,3.095008375583047e-06,0.012504158608665421
9,20000,-3.999799849863356,141.3364737044878,0.028288516223367127,0.0282842712474619,4.244975905225157e-06,0.015006004103243438
10,20000,-4.499774808551766,141.3178984552628,0.03182537719222801,0.03181980515339464,5.572038833376314e-06,0.01750816274610265
11,20000,-4.99974976222402,141.29755128198664,0.03536241530305203,0.035355339059327376,7.076243724653264e-06,0.02001063463570186
12,20000,-5.499724710878212,141.27543141900233,0.0388996306024258,0.038890872965260115,8.757637165686394e-06,0.022513419870728187
13,20000,-5.999699654512479,141.25153803345196,0.042437023136958144,0.04242640687119285,1.0616265765296673e-05,0.02501651855040471
