Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
78,K11,0.151024472361809,-0.0441305276381909,-22.6130653266332,0.913801913081651+0i,-0.154694330158914+0.552090483317245i,-0.154694330158914-0.552090483317245i,0.913801913081651,YES
79,K11,0.152985829145729,-0.0421691708542714,-21.608040201005,0.904982395536998+0i,-0.150382639225785+0.541384479580836i,-0.150382639225785-0.541384479580836i,0.904982395536998,YES
80,K11,0.154947185929648,-0.0402078140703518,-20.6030150753769,0.895895168752818+0i,-0.145937093672891+0.530307809292513i,-0.145937093672891-0.530307809292513i,0.895895168752818,YES
81,K11,0.156908542713568,-0.0382464572864321,-19.5979899497487,0.886519175565572+0i,-0.141347164918462+0.518826348240579i,-0.141347164918462-0.518826348240579i,0.886519175565572,YES
82,K11,0.158869899497487,-0.0362851005025126,-18.5929648241206,0.876830564126378+0i,-0.136600927038064+0.506900682434757i,-0.136600927038064-0.506900682434757i,0.876830564126378,YES
83,K11,0.160831256281407,-0.034323743718593,-17.5879396984925,0.866802148822956+0i,-0.131684787225551+0.494484915875267i,-0.131684787225551-0.494484915875267i,0.866802148822956,YES
84,K11,0.162792613065327,-0.0323623869346734,-16.5829145728643,0.856402730990867+0i,-0.126583146148702+0.481525114849604i,-0.126583146148702-0.481525114849604i,0.856402730990867,YES
85,K11,0.164753969849246,-0.0304010301507538,-15.5778894472362,0.845596232373324+0i,-0.121277964679123+0.467957244997249i,-0.121277964679123-0.467957244997249i,0.845596232373324,YES
86,K11,0.166715326633166,-0.0284396733668342,-14.572864321608,0.83434057449008+0i,-0.115748203576698+0.453704385495655i,-0.115748203576698-0.453704385495655i,0.83434057449008,YES
87,K11,0.168676683417085,-0.0264783165829146,-13.5678391959799,0.822586207033745+0i,-0.109969087687727+0.438672888135449i,-0.109969087687727-0.438672888135449i,0.822586207033745,YES
88,K11,0.170638040201005,-0.024516959798995,-12.5628140703518,0.810274141667592+0i,-0.103911122843842+0.422746953527483i,-0.103911122843842-0.422746953527483i,0.810274141667592,YES
89,K11,0.172599396984925,-0.0225556030150754,-11.5577889447236,0.797333272806167+0i,-0.0975387562523289+0.40578075583236i,-0.0975387562523289-0.40578075583236i,0.797333272806167,YES
90,K11,0.174560753768844,-0.0205942462311558,-10.5527638190955,0.783676643430689+0i,-0.0908085094037854+0.387586625728081i,-0.0908085094037854-0.387586625728081i,0.783676643430689,YES
91,K11,0.176522110552764,-0.0186328894472362,-9.54773869346734,0.769196102334156+0i,-0.0836663066947131+0.367916604852889i,-0.0836663066947131-0.367916604852889i,0.769196102334156,YES
92,K11,0.178483467336683,-0.0166715326633166,-8.5427135678392,0.75375442078694+0i,-0.076043533760302+0.34643222758106i,-0.076043533760302-0.34643222758106i,0.75375442078694,YES
93,K11,0.180444824120603,-0.014710175879397,-7.53768844221105,0.737173225224811+0i,-0.0678510038184372+0.322651915569786i,-0.0678510038184372-0.322651915569786i,0.737173225224811,YES
94,K11,0.182406180904523,-0.0127488190954774,-6.53266331658291,0.7192136821691+0i,-0.0589693001297747+0.295851871991853i,-0.0589693001297747-0.295851871991853i,0.7192136821691,YES
95,K11,0.184367537688442,-0.0107874623115578,-5.52763819095477,0.699543818589902+0i,-0.0492324361793724+0.264858144006304i,-0.0492324361793724-0.264858144006304i,0.699543818589902,YES
96,K11,0.186328894472362,-0.00882610552763818,-4.52261306532663,0.677679161238657+0i,-0.0383981753429476+0.227535856331823i,-0.0383981753429476-0.227535856331823i,0.677679161238657,YES
97,K11,0.188290251256281,-0.00686474874371859,-3.51758793969849,0.65286421753139+0i,-0.0260887713285076+0.179160399343295i,-0.0260887713285076-0.179160399343295i,0.65286421753139,YES
98,K11,0.190251608040201,-0.004903391959799,-2.51256281407035,0.623802102120173+0i,-0.0116557814620951+0.103105236009704i,-0.0116557814620951-0.103105236009704i,0.623802102120173,YES
99,K11,0.192212964824121,-0.00294203517587938,-1.50753768844221,0.587896843491542+0i,0.122781983975712+0i,-0.110384423949671+0i,0.587896843491542,YES
100,K11,0.19417432160804,-0.000980678391959811,-0.50251256281407,0.538148359167593+0i,0.238464469273552+0i,-0.176514560601946+0i,0.538148359167593,YES
101,K11,0.19613567839196,0.000980678391959783,0.50251256281407,0.410109760654925+0.0357060390456227i,0.410109760654925-0.0357060390456227i,-0.220317389149046+0i,0.411661192012032,YES
102,K11,0.198097035175879,0.00294203517587938,1.50753768844221,0.42729639149941+0.146659600607863i,0.42729639149941-0.146659600607863i,-0.254886786516406+0i,0.451764589846166,YES
103,K11,0.200058391959799,0.004903391959799,2.51256281407035,0.441800048122669+0.199028229436989i,0.441800048122669-0.199028229436989i,-0.28409023544132+0i,0.484561160880663,YES
104,K11,0.202019748743719,0.00686474874371859,3.51758793969849,0.454503940379685+0.237125448627404i,0.454503940379685-0.237125448627404i,-0.309694155633742+0i,0.512642477958477,YES
105,K11,0.203981105527638,0.00882610552763821,4.52261306532663,0.465897499082482+0.267815366924684i,0.465897499082482-0.267815366924684i,-0.33267740871773+0i,0.537387709584351,YES
106,K11,0.205942462311558,0.0107874623115578,5.52763819095477,0.476284663514701+0.293829821087024i,0.476284663514701-0.293829821087024i,-0.353647873260553+0i,0.559627594440575,YES
107,K11,0.207903819095477,0.0127488190954774,6.53266331658291,0.485869091821639+0.316577827299896i,0.485869091821639-0.316577827299896i,-0.373012865552824+0i,0.579905419120659,YES
108,K11,0.209865175879397,0.014710175879397,7.53768844221105,0.494794912578677+0.336894050258574i,0.494794912578677-0.336894050258574i,-0.391060642745301+0i,0.598598034254513,YES
109,K11,0.211826532663317,0.0166715326633166,8.5427135678392,0.503168425070754+0.35531858207477i,0.503168425070754-0.35531858207477i,-0.408003803407833+0i,0.615978699920547,YES
110,K11,0.213787889447236,0.0186328894472362,9.54773869346734,0.511070605895059+0.372223219038598i,0.511070605895059-0.372223219038598i,-0.424004300734838+0i,0.632252551597381,YES
111,K11,0.215749246231156,0.0205942462311558,10.5527638190955,0.51856476971242+0.387875962506419i,0.51856476971242-0.387875962506419i,-0.439188764047955+0i,0.64757793560094,YES
112,K11,0.217710603015075,0.0225556030150754,11.5577889447236,0.525701494872701+0.402477016494044i,0.525701494872701-0.402477016494044i,-0.453658350046906+0i,0.662079912485902,YES
113,K11,0.219671959798995,0.024516959798995,12.5628140703518,0.532521918279759+0.416180269719292i,0.532521918279759-0.416180269719292i,-0.467495332539417+0i,0.675859164583848,YES
114,K11,0.221633316582915,0.0264783165829146,13.5678391959799,0.539060013223104+0.429106808475497i,0.539060013223104-0.429106808475497i,-0.480767658104501+0i,0.688998077599727,YES
115,K11,0.223594673366834,0.0284396733668342,14.572864321608,0.545344208620447+0.441353786547702i,0.545344208620447-0.441353786547702i,-0.493532184577572+0i,0.70156501535913,YES
116,K11,0.225556030150754,0.0304010301507537,15.5778894472362,0.551398567937448+0.453000456247924i,0.551398567937448-0.453000456247924i,-0.505837038889978+0i,0.713617400351404,YES
117,K11,0.227517386934673,0.0323623869346734,16.5829145728643,0.557243665506289+0.464112392629282i,0.557243665506289-0.464112392629282i,-0.517723369706033+0i,0.725203982158786,YES
118,K11,0.229478743718593,0.034323743718593,17.5879396984925,0.562897249853634+0.474744528111503i,0.562897249853634-0.474744528111503i,-0.529226674079121+0i,0.736366539750821,YES
119,K11,0.231440100502513,0.0362851005025126,18.5929648241206,0.568374753926715+0.484943380817903i,0.568374753926715-0.484943380817903i,-0.540377817903676+0i,0.747141180434027,YES
120,K11,0.233401457286432,0.0382464572864322,19.5979899497487,0.573689693199936+0.494748722488446i,0.573689693199936-0.494748722488446i,-0.551203832128516+0i,0.75755934585205,YES
121,K11,0.235362814070352,0.0402078140703517,20.6030150753769,0.578853980298742+0.50419484816898i,0.578853980298742-0.50419484816898i,-0.561728542004514+0i,0.767648601527963,YES
122,K11,0.237324170854271,0.0421691708542714,21.608040201005,0.583878176530574+0.51331155736528i,0.583878176530574-0.51331155736528i,-0.571973070146575+0i,0.777433263986972,YES
123,K11,0.239285527638191,0.0441305276381909,22.6130653266332,0.588771695085931+0.522124922474672i,0.588771695085931-0.522124922474672i,-0.58195624293568+0i,0.786934904298661,YES
124,K11,0.241246884422111,0.0460918844221106,23.6180904522613,0.593542966763902+0.530657897930867i,0.593542966763902-0.530657897930867i,-0.591694921970014+0i,0.796172756398572,YES
125,K11,0.24320824120603,0.0480532412060302,24.6231155778894,0.598199576313305+0.538930808388957i,0.598199576313305-0.538930808388957i,-0.601204276747209+0i,0.805164051192173,YES
126,K11,0.24516959798995,0.0500145979899497,25.6281407035176,0.60274837549734+0.546961743879424i,0.60274837549734-0.546961743879424i,-0.610498010793673+0i,0.813924292199405,YES
127,K11,0.247130954773869,0.0519759547738693,26.6331658291457,0.607195577546791+0.554766882578229i,0.607195577546791-0.554766882578229i,-0.619588550570969+0i,0.822467484705595,YES
128,K11,0.249092311557789,0.0539373115577889,27.6381909547739,0.611546836603044+0.562360756658556i,0.611546836603044-0.562360756658556i,-0.628487204361863+0i,0.830806327605161,YES
129,K11,0.251053668341709,0.0558986683417086,28.643216080402,0.615807314957479+0.569756472946137i,0.615807314957479-0.569756472946137i,-0.63720429674913+0i,0.838952375060207,YES
130,K11,0.253015025125628,0.0578600251256281,29.6482412060301,0.61998174029604+0.576965897364414i,0.61998174029604-0.576965897364414i,-0.645749283104634+0i,0.84691617355086,YES
131,K11,0.254976381909548,0.0598213819095477,30.6532663316583,0.624074454700652+0.583999810126106i,0.624074454700652-0.583999810126106i,-0.654130847592255+0i,0.854707378719316,YES
132,K11,0.256937738693467,0.0617827386934673,31.6582914572864,0.62808945680878+0.590868037110381i,0.62808945680878-0.590868037110381i,-0.662356987486903+0i,0.86233485551323,YES
133,K11,0.258899095477387,0.0637440954773869,32.6633165829146,0.63203043825961+0.597579561712587i,0.63203043825961-0.597579561712587i,-0.670435086066959+0i,0.869806764438656,YES
134,K11,0.260860452261307,0.0657054522613066,33.6683417085427,0.635900815342378+0.604142620576363i,0.635900815342378-0.604142620576363i,-0.678371975910886+0i,0.877130636193935,YES
135,K11,0.262821809045226,0.0676668090452261,34.6733668341708,0.639703756594145+0.610564785937822i,0.639703756594145-0.610564785937822i,-0.686173994092814+0i,0.884313436530261,YES
136,K11,0.264783165829146,0.0696281658291457,35.678391959799,0.643442206961125+0.616853036785097i,0.643442206961125-0.616853036785097i,-0.693847030505162+0i,0.89136162285012,YES
137,K11,0.266744522613065,0.0715895226130653,36.6834170854271,0.647118909030434+0.623013820622407i,0.647118909030434-0.623013820622407i,-0.701396570322171+0i,0.898281193786928,YES
138,K11,0.268705879396985,0.0735508793969849,37.6884422110553,0.650736421753678+0.629053107300255i,0.650736421753678-0.629053107300255i,-0.708827731447059+0i,0.905077732794751,YES
