Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
153,K12,-0.739731296482412,-0.255499296482412,52.7638190954774,0.739126779755388+1.63392206867241i,0.739126779755388-1.63392206867241i,-0.878253359510773+0i,1.79332365261999,NO
154,K12,-0.744597949748744,-0.260365949748744,53.7688442211055,0.741093002416768+1.6470554947867i,0.741093002416768-1.6470554947867i,-0.882185804833531+0i,1.80610371826708,NO
155,K12,-0.749464603015075,-0.265232603015075,54.7738693467337,0.743023254082743+1.66005670780234i,0.743023254082743-1.66005670780234i,-0.886046308165484+0i,1.81875557160033,NO
156,K12,-0.754331256281407,-0.270099256281407,55.7788944723618,0.74491872273242+1.67292957755084i,0.74491872273242-1.67292957755084i,-0.889837245464841+0i,1.8312829587264,NO
157,K12,-0.759197909547739,-0.274965909547739,56.7839195979899,0.746780538154525+1.68567779175448i,0.746780538154525-1.68567779175448i,-0.893560876309047+0i,1.8436894504717,NO
158,K12,-0.76406456281407,-0.27983256281407,57.7889447236181,0.748609775730462+1.69830486768539i,0.748609775730462-1.69830486768539i,-0.897219351460918+0i,1.85597845351801,NO
159,K12,-0.768931216080402,-0.284699216080402,58.7939698492462,0.750407459911985+1.71081416288794i,0.750407459911985-1.71081416288794i,-0.90081471982397+0i,1.86815322065122,NO
160,K12,-0.773797869346734,-0.289565869346734,59.7989949748744,0.752174567422881+1.72320888505446i,0.752174567422881-1.72320888505446i,-0.90434893484576+0i,1.88021686020747,NO
161,K12,-0.778664522613065,-0.294432522613065,60.8040201005025,0.75391203021061+1.73549210113437i,0.75391203021061-1.73549210113437i,-0.907823860421218+0i,1.89217234479211,NO
162,K12,-0.783531175879397,-0.299299175879397,61.8090452261306,0.755620738171214+1.74766674574755i,0.755620738171214-1.74766674574755i,-0.911241276342429+0i,1.90402251933801,NO
163,K12,-0.788397829145729,-0.304165829145729,62.8140703517588,0.757301541668175+1.75973562896613i,0.757301541668175-1.75973562896613i,-0.914602883336346+0i,1.91577010856361,NO
164,K12,-0.79326448241206,-0.30903248241206,63.8190954773869,0.758955253863805+1.77170144352086i,0.758955253863805-1.77170144352086i,-0.917910307727611+0i,1.92741772388379,NO
165,K12,-0.798131135678392,-0.313899135678392,64.8241206030151,0.760582652879734+1.7835667714835i,0.760582652879734-1.7835667714835i,-0.921165105759464+0i,1.93896786982189,NO
166,K12,-0.802997788944724,-0.318765788944724,65.8291457286432,0.762184483801456+1.79533409047049i,0.762184483801456-1.79533409047049i,-0.92436876760291+0i,1.95042294996578,NO
167,K12,-0.807864442211055,-0.323632442211055,66.8341708542713,0.763761460540317+1.8070057794094i,0.763761460540317-1.8070057794094i,-0.927522721080629+0i,1.96178527250708,NO
168,K12,-0.812731095477387,-0.328499095477387,67.8391959798995,0.765314267565017+1.81858412390459i,0.765314267565017-1.81858412390459i,-0.930628335130031+0i,1.97305705539814,NO
169,K12,-0.817597748743719,-0.333365748743719,68.8442211055276,0.766843561513518+1.83007132123595i,0.766843561513518-1.83007132123595i,-0.933686923027031+0i,1.98424043115874,NO
170,K12,-0.82246440201005,-0.33823240201005,69.8492462311558,0.768349972695233+1.8414694850205i,0.768349972695233-1.8414694850205i,-0.93669974539046+0i,1.99533745136065,NO
171,K12,-0.827331055276382,-0.343099055276382,70.8542713567839,0.769834106492354+1.85278064956425i,0.769834106492354-1.85278064956425i,-0.939668012984705+0i,2.0063500908163,NO
172,K12,-0.832197708542713,-0.347965708542713,71.859296482412,0.771296544668404+1.86400677392895i,0.771296544668404-1.86400677392895i,-0.942592889336805+0i,2.01728025149468,NO
173,K12,-0.837064361809045,-0.352832361809045,72.8643216080402,0.772737846591348+1.87514974573619i,0.772737846591348-1.87514974573619i,-0.945475493182693+0i,2.02812976618587,NO
174,K12,-0.841931015075377,-0.357699015075377,73.8693467336683,0.774158550377906+1.8862113847292i,0.774158550377906-1.8862113847292i,-0.948316900755805+0i,2.03890040193366,NO
175,K12,-0.846797668341709,-0.362565668341709,74.8743718592965,0.775559173965105+1.89719344611078i,0.775559173965105-1.89719344611078i,-0.951118147930207+0i,2.04959386325367,NO
176,K12,-0.85166432160804,-0.36743232160804,75.8793969849246,0.776940216114619+1.90809762367446i,0.776940216114619-1.90809762367446i,-0.953880232229238+0i,2.06021179515319,NO
