omega,uncompensated_dB,compensated_2nd_dB
-9.2089397535574,-0.680907392883623,-48.83184158733803
-9.207997228635078,-0.6745440968822725,-48.74919179951981
-9.207054703712753,-0.6681535099593837,-48.66684051391534
-9.20611217879043,-0.66173563449054,-48.58478489557359
-9.205169653868108,-0.6552904727929647,-48.5030221460918
-9.204227128945785,-0.6488180271247744,-48.42154950298802
-9.203284604023462,-0.6423182996841428,-48.34036423908637
-9.202342079101138,-0.635791292608484,-48.25946366191545
-9.201399554178815,-0.6292370079736797,-48.17884511312001
-9.200457029256492,-0.6226554477931951,-48.09850596788381
-9.19951450433417,-0.6160466140173055,-48.0184436343655
-9.198571979411847,-0.6094105085322575,-47.938655553146106
-9.197629454489523,-0.6027471331594396,-47.859139196687615
-9.1966869295672,-0.5960564896546003,-47.77989206880357
-9.195744404644877,-0.5893385797069485,-47.700911704139266
-9.194801879722554,-0.5825934049383767,-47.622195667663746
-9.193859354800232,-0.575820966902602,-47.54374155417174
-9.192916829877909,-0.5690212670843426,-47.465546987795534
-9.191974304955584,-0.5621943068984768,-47.38760962152717
-9.191031780033262,-0.555340087689223,-47.30992713675013
-9.190089255110939,-0.5484586107292547,-47.23249724277993
-9.189146730188616,-0.5415498772189016,-47.155317676414526
-9.188204205266294,-0.5346138882852659,-47.07838620149353
-9.187261680343969,-0.5276506449813982,-47.001700608465825
-9.186319155421646,-0.520660148285472,-46.92525871396668
-9.185376630499324,-0.5136423990998675,-46.84905836040144
-9.184434105577001,-0.5065973982503597,-46.77309741553934
-9.183491580654678,-0.499525146485258,-46.69737377211385
-9.182549055732354,-0.49242564447452053,-46.62188534743131
-9.181606530810031,-0.4852988928089784,-46.54663008298782
-9.180664005887708,-0.4781448919993412,-46.47160594409157
-9.179721480965386,-0.4709636424754311,-46.39681091949473
-9.178778956043063,-0.4637551445852792,-46.32224302103094
-9.177836431120738,-0.4565193985942456,-46.24790028325989
-9.176893906198416,-0.4492564046842082,-46.17378076311966
-9.175951381276093,-0.4419661629526016,-46.099882539583874
-9.17500885635377,-0.43464867341158764,-46.02620371332683
-9.174066331431447,-0.42730393598718547,-45.95274240639429
-9.173123806509125,-0.41993195051836346,-45.87949676188057
-9.1721812815868,-0.4125327167561622,-45.80646494361137
-9.171238756664478,-0.4051062343628591,-45.73364513583327
-9.170296231742155,-0.39765250291099424,-45.661035542907655
-9.169353706819832,-0.39017152188254406,-45.58863438901153
-9.16841118189751,-0.3826632906679994,-45.51643991784327
-9.167468656975185,-0.3751278085654778,-45.44445039233353
-9.166526132052862,-0.3675650747798704,-45.37266409436249
-9.16558360713054,-0.3599750884218647,-45.30107932448032
-9.164641082208217,-0.35235784850709373,-45.22969440163471
-9.163698557285894,-0.3447133539552264,-45.15850766290206
-9.16275603236357,-0.33704160358903995,-45.08751746322382
-9.161813507441247,-0.3293425961335801,-45.01672217514801
-9.160870982518924,-0.32161633021514946,-44.94612018857435
-9.159928457596601,-0.31386280436046354,-44.87570991050479
-9.158985932674279,-0.3060820169957335,-44.80548976479816
-9.158043407751954,-0.29827396644569837,-44.73545819192891
-9.157100882829631,-0.29043865093280324,-44.665613648750906
-9.156158357907309,-0.282576068576166,-44.595954608263966
-9.155215832984986,-0.2746862173907189,-44.52647955938574
-9.154273308062663,-0.2667690952862701,-44.45718700672697
-9.15333078314034,-0.2588247000665748,-44.38807547037082
-9.152388258218016,-0.25085302942838084,-44.319143485655644
-9.151445733295693,-0.24285408096056482,-44.2503896029625
-9.15050320837337,-0.23482785214309784,-44.181812387504635
-9.149560683451048,-0.2267743403461832,-44.113410419122154
-9.148618158528725,-0.21869354282927161,-44.04518229207931
-9.1476756336064,-0.2105854567401398,-43.977126614865405
-9.146733108684078,-0.20245007911397248,-43.9092420099996
-9.145790583761755,-0.19428740687234022,-43.84152711383771
-9.144848058839433,-0.18609743682230545,-43.77398057638361
