n,theta_c_deg,guard_band_deg,resonance_cost_dB
1,104.0,0.08952876453418833,-4.519738768594514
1,104.5,0.0887262915426901,-4.46931709284064
1,105.00000000000001,0.08792922254267194,-4.419105989658321
1,105.5,0.08713747308402052,-4.369105002931547
1,106.00000000000001,0.08635096024262717,-4.319313729326737
1,106.5,0.08556960258374793,-4.269731818127313
1,107.0,0.08479332012686482,-4.2203589710797065
1,107.5,0.08402203431103038,-4.171194942250242
1,108.0,0.08325566796156107,-4.1222395378922965
1,108.5,0.08249414525734106,-4.073492616323145
1,109.0,0.08173739169927115,-4.024954087809987
1,109.50000000000001,0.08098533407940468,-3.9766239144644686
1,110.0,0.080237900450974,-3.9285021101452253
2,20.0,20.334873390984736,-39.69014069033938
2,20.5,19.838735762244482,-39.25217385497195
2,21.0,19.365276922145053,-38.824317617289545
2,21.5,18.912974898249377,-38.40608515313059
2,22.0,18.48043966001418,-37.997023192084605
2,22.5,18.066399254766406,-37.59670900030174
2,23.0,17.669687639658964,-37.20474769496016
2,23.5,17.289233974691378,-36.8207698475851
2,24.0,16.924053177979705,-36.44442933972358
2,24.5,16.57323757450144,-36.075401439747964
2,25.0,16.23594949461925,-35.71338107397877
2,25.499999999999996,15.911414699690347,-35.35808126903433
2,26.0,15.598916529708008,-35.00923174545454
2,26.5,15.297790682783672,-34.66657764530734
2,27.0,15.007420548834286,-34.32987837874897
2,27.5,14.727233030477297,-33.998906576440525
2,28.0,14.456694793173186,-33.6734471363752
2,28.500000000000004,14.195308894353838,-33.35329635508928
2,29.000000000000004,13.942611747849208,-33.03826113445076
2,29.499999999999996,13.698170385552796,-32.72815825627353
2,29.999999999999996,13.46157998309781,-32.42281371791723
2,30.5,13.23246162047042,-32.12206212282452
2,31.0,13.0104602520704,-31.825746120636005
2,31.5,12.79524286382576,-31.533715892123702
2,32.0,12.586496797649291,-31.24582867470831
2,32.5,12.38392822585366,-30.961948324785737
2,33.0,12.187260760164614,-30.68194491349141
2,33.5,11.996234181737337,-30.405694352886105
2,34.0,11.81060328012104,-30.133078049859876
2,34.50000000000001,11.63013679046368,-29.86398258532702
2,35.0,11.454616419431892,-29.598299416529514
2,35.5,11.283835951355949,-29.335924600483114
2,36.0,11.117600427024193,-29.07675853679304
2,36.5,10.955725388353917,-28.82070572823709
2,37.0,10.79803618287544,-28.567674557667036
2,37.49999999999999,10.644367322593906,-28.317577079915125
2,38.0,10.494561892348383,-28.070328827514498
2,38.5,10.348471003280707,-27.82584862915129
2,39.00000000000001,10.205953287463574,-27.584058439864027
2,39.5,10.066874430127545,-27.344883182093866
2,40.0,9.931106736272419,-27.10825059676803
2,40.5,9.798528728758289,-26.874091103670224
2,41.0,9.669024775247804,-26.642337670415664
2,41.5,9.54248474161845,-26.412925689406652
2,41.99999999999999,9.418803669684566,-26.18579286219669
2,42.5,9.297881477268335,-25.9608790907389
2,43.0,9.179622678836315,-25.73812637503721
2,43.50000000000001,9.063936125079016,-25.51747871675805
2,44.0,8.950734759955328,-25.298882028395575
2,44.5,8.839935393853438,-25.082284047615836
2,45.0,8.731458491637248,-24.86763425643465
2,45.5,8.625227974453896,-24.654883804910583
2,46.0,8.521171034273,-24.443985439059208
2,46.49999999999999,8.419217960215711,-24.23489343271671
2,47.0,8.319301975810232,-24.027563523101772
2,47.5,8.2213590863815,-23.821952849843054
2,48.00000000000001,8.12532793584796,-23.618019897256836
2,48.5,8.03114967225687,-23.415724439675213
2,49.00000000000001,7.938767821443791,-23.215027489639333
2,49.5,7.848128168250042,-23.01589124878596
2,49.99999999999999,7.7591786447768865,-22.81827906126722
2,50.5,7.671869225195706,-22.622155369555188
2,50.99999999999999,7.5861518266706724,-22.427485672492935
2,51.5,7.501980215983844,-22.234236485463338
2,52.0,7.419309921484538,-22.04237530255586
2,52.50000000000001,7.3380981500121205,-21.85187056061943
2,53.0,7.258303708468645,-21.662691605097248
2,53.50000000000001,7.179886929740501,-21.47480865754632
2,54.0,7.102809602690918,-21.288192784750755
2,54.49999999999999,7.027034905965095,-21.102815869344134
2,55.0,6.952527345368283,-20.91865058186162
2,55.49999999999999,6.879252694593855,-20.73567035414755
2,56.0,6.807177939094943,-20.55384935404934
2,56.5,6.736271222906555,-20.373162461332615
2,57.00000000000001,6.666501798239303,-20.193585244756775
2,57.5,6.59783997767811,-20.01509394025428
2,58.00000000000001,6.530257088829711,-19.83766543015988
2,58.5,6.46372543127482,-19.661277223440244
2,58.99999999999999,6.398218235688934,-19.4859074368767
2,59.5,6.333709625006014,-19.311534777157345
2,59.99999999999999,6.270174577506894,-19.138138523837164
2,60.5,6.207588891721989,-18.96569851312737
2,61.0,6.145929153045654,-18.794195122477785
2,61.50000000000001,6.085172701965081,-18.623609255917902
2,62.0,6.025297603814272,-18.453922330124833
2,62.50000000000001,5.966282619967526,-18.285116261187824
2,63.0,5.908107180394074,-18.117173452041214
2,63.49999999999999,5.85075135749886,-17.950076780539238
2,64.0,5.794195841180068,-17.783809588147705
