omega,uncompensated_dB,compensated_2nd_dB,filter1_dB,filter2_dB,compensated_1st_dB
-9.31733011962455,-1.2297297693768112,-61.54872654508602,-30.16368069547142,-60.3189967757092,-31.39341046484823
-9.316387594702228,-1.2265301651530511,-61.39351262400146,-30.08774730471748,-60.1669824588484,-31.314277469870532
-9.315445069779903,-1.22330280001171,-61.23958196892304,-30.012470074211368,-60.01627916891106,-31.235772874223077
-9.314502544857582,-1.220047678272703,-61.086912032461385,-29.937837728164922,-59.866864354188685,-31.157885406437625
-9.31356001993526,-1.2167648042737311,-60.93548084304369,-29.863839278688875,-59.718716038769955,-31.080604082962605
-9.312617495012937,-1.213454182369778,-60.78526698547573,-29.79046401607585,-59.57181280310594,-31.003918198445625
-9.311674970090612,-1.2101158169326172,-60.63624958231812,-29.717701499487724,-59.426133765385494,-30.92781731642034
-9.31073244516829,-1.2067497123503486,-60.48840827603546,-29.645541548030963,-59.28165856368511,-30.85229126038131
-9.309789920245969,-1.2033558730268454,-60.34172321187831,-29.573974232197806,-59.1383673388517,-30.77733010522465
-9.308847395323644,-1.1999343033812735,-60.19617502146639,-29.50298986565742,-58.99624071808512,-30.702924169038692
-9.30790487040132,-1.1964850078475984,-60.051744807034936,-29.43257899738059,-58.8552597991871,-30.629064005228187
-9.306962345478995,-1.1930079908740334,-59.90841412631383,-29.362732404078645,-58.715406135439565,-30.55574039495268
-9.306019820556674,-1.1895032569225836,-59.76616497801008,-29.29344108294517,-58.576661721087504,-30.482944339867753
-9.305077295634351,-1.185970810468462,-59.62497978786232,-29.224696244683123,-58.439008977393854,-30.410667055151585
-9.304134770712029,-1.1824106559996173,-59.484841395243805,-29.15648930680749,-58.30243073924419,-30.33889996280711
-9.303192245789706,-1.1788227980161772,-59.34573304028638,-29.088811887206774,-58.1669102422702,-30.26763468522295
-9.302249720867382,-1.1752072410299323,-59.20763835150066,-29.021655797953674,-58.03243111047073,-30.196863038983608
-9.30130719594506,-1.1715639895638268,-59.07054133387228,-28.955013039353574,-57.898977344308655,-30.1265770289174
-9.300364671022736,-1.167893048151366,-58.934426357408434,-28.888875794217306,-57.766533309257056,-30.056768842368673
-9.299422146100412,-1.1641944213361364,-58.79927814611861,-28.823236422353066,-57.63508372478227,-29.987430843689204
-9.29847962117809,-1.160468113671223,-58.66508176740719,-28.75808745526223,-57.50461365373596,-29.918555568933453
-9.297537096255766,-1.1567141297186845,-58.53182262185974,-28.69342159103239,-57.37510849214105,-29.850135720751073
-9.296594571333443,-1.152932474049007,-58.39948643340839,-28.62923168942116,-57.24655395935939,-29.782164163470167
-9.29565204641112,-1.1491231512405362,-58.268059239854246,-28.565510767117154,-57.11893608861371,-29.71463391835769
-9.294709521488798,-1.1452861658789288,-58.13752738373702,-28.502251993175207,-56.9922412178581,-29.647538159054136
-9.293766996566475,-1.141421522556593,-58.00787750353309,-28.439448684615716,-56.8664559809765,-29.58087020717231
-9.292824471644153,-1.1375292258721368,-57.8790965251694,-28.37709430218179,-56.741567299297266,-29.514623528053924
-9.291881946721828,-1.1336092804297802,-57.75117165383883,-28.315182446247313,-56.61756237340906,-29.448791726677094
-9.290939421799504,-1.1296616908388284,-57.62409036610629,-28.25370685287003,-56.494428675267194,-29.383368543708862
-9.289996896877184,-1.12568646171305,-57.4978404022891,-28.19266138998283,-56.372153940576226,-29.318347851695883
-9.28905437195486,-1.1216835976701285,-57.37240975910517,-28.13204005371642,-56.250726161435054,-29.253723651386547
